title,author,pages,genre,description,published_date,publisher,language,average_rating,ratings_count,thumbnail
Fictional Points of View,Peter Lamarque,252,Literary Criticism,"The volume focuses on a wide range of thinkers, including Iris Murdoch on truth and art, Stanley Cavell on tragedy, Roland Barthes and Michel Foucault on ""the death of the author,"" and Kendall Walton on fearing fictions. Also included is a consideration of the fifteenth-century Japanese playwright and drama teacher Zeami Motokiyo, the founding father of Noh theather.",1996,Cornell University Press,en,No rating,0,http://books.google.com/books/content?id=rh-omr6laV0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Science Fiction and Fantasy Literature,"R. Reginald, Douglas Menville, Mary A. Burgess",802,Reference,"Science Fiction and Fantasy Literature, A Checklist, 1700-1974, Volume one of Two, contains an Author Index, Title Index, Series Index, Awards Index, and the Ace and Belmont Doubles Index.",2010-09-01,Wildside Press LLC,en,No rating,0,http://books.google.com/books/content?id=P8zW2AH6150C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Library of Congress Subject Headings,Library of Congress. Cataloging Policy and Support Office,1662,"Subject headings, Library of Congress",No description available,2004,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=pEhkh_9bP9wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Library of Congress Subject Headings,Library of Congress,1512,"Subject headings, Library of Congress",No description available,2007,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=FgAjFqUSQq0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Fictional Space in the Modernist and Post-modernist American Novel,Carl Darryl Malmgren,248,Fiction,"Fictional space is the imaginal expanse of field created by fictional discourse; a space which, through ultimately self-referential and self-validating, necessarily exists in ascertainable relation to the real world outside the text. After defining his theoretical framework the author applies it to American fiction of the twentieth century.",1985,Bucknell University Press,en,No rating,0,http://books.google.com/books/content?id=KXzozWo8N-EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Mestizos Come Home!,Robert Con Davis-Undiano,337,History,"Uruguayan writer Eduardo Galeano has described U.S. and Latin American culture as continually hobbled by amnesia—unable, or unwilling, to remember the influence of mestizos and indigenous populations. In Mestizos Come Home! author Robert Con Davis-Undiano documents the great awakening of Mexican American and Latino culture since the 1960s that has challenged this omission in collective memory. He maps a new awareness of the United States as intrinsically connected to the broader context of the A...",2017-03-30,University of Oklahoma Press,en,No rating,0,http://books.google.com/books/content?id=fk1jDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Fictional Practice: Magic, Narration, and the Power of Imagination",Unknown Author,384,"Body, Mind & Spirit","To what extent were practitioners of magic inspired by fictional accounts of their art? In how far did the daunting narratives surrounding legendary magicians such as Theophilus of Adana, Cyprianus of Antioch, Johann Georg Faust or Agrippa of Nettesheim rely on real-world events or practices? Fourteen original case studies present material from late antiquity to the twenty-first century and explore these questions in a systematic manner. By coining the notion of ‘fictional practice’, the editors...",2021-09-27,BRILL,en,No rating,0,http://books.google.com/books/content?id=NLJFEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Telling Lies in Modern American Autobiography,Timothy Dow Adams,230,Literary Criticism,"This collection of twelve essays discusses the principles and practices of women's autobiographical writing in America, England, and France from the eighteenth to the twentieth centuries.",1990-01-01,UNC Press Books,en,No rating,0,http://books.google.com/books/content?id=p6YBbKOR81sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Essential Skills - Reading and Writing, Grade 1","Teacher Created Resources, Inc",178,Activity programs in education,No description available,2008-12,Teacher Created Resources,en,No rating,0,http://books.google.com/books/content?id=Gynn-4pUcXYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Pearson's Magazine,Unknown Author,692,English fiction,No description available,1902,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=IqHQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Reload,"Mary Flanagan, Austin Booth",604,Social Science,An anthology of feminist cyberfiction and theoretical and critical writings on gender and technoculture. Most writing on cyberculture is dominated by two almost mutually exclusive visions: the heroic image of the male outlaw hacker and the utopian myth of a gender-free cyberworld. Reload offers an alternative picture of cyberspace as a complex and contradictory place where there is oppression as well as liberation. It shows how cyberpunk's revolutionary claims conceal its ultimate conservatism o...,2002-05-03,MIT Press,en,No rating,0,http://books.google.com/books/content?id=8LFsPwN2AJIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Presented Discourse in Popular Science,Olga Pilkington,206,Language Arts & Disciplines,"In Presented Discourse in Popular Science, Olga A. Pilkington explores the forms and functions of the voices of scientists in books written for non-professionals. This study confirms the importance of considering presentation of discourse outside of literary fiction: popular science uses presented discourse in ways uncommon for fiction yet not conventional for non-fiction either. This analysis is an acknowledgement of the social consequences of popularization. Discourse presentation of scientist...",2018-07-03,BRILL,en,No rating,0,http://books.google.com/books/content?id=P-t5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Encyclopedia of the Novel,Paul Schellinger,838,Literary Criticism,"The Encyclopedia of the Novel is the first reference book that focuses on the development of the novel throughout the world. Entries on individual writers assess the place of that writer within the development of the novel form, explaining why and in exactly what ways that writer is importnant. Similarly, an entry on an individual novel discusses the importance of that novel not only form, analyzing the particular innovations that novel has introduced and the ways in which it has influenced the ...",2014-04-08,Routledge,en,3,2,http://books.google.com/books/content?id=FPdRAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Idealism,"Tyron Goldschmidt, Kenneth L. Pearce",314,Philosophy,"Idealism is a family of metaphysical views each of which gives priority to the mental. The best-known forms of idealism in Western philosophy are Berkeleyan idealism, which gives ontological priority to the mental (minds and ideas) over the physical (bodies), and Kantian idealism, which gives a kind of explanatory priority to the mental (the structure of the understanding) over the physical (the structure of the empirical world). Although idealism was once a dominant view in Western philosophy, ...",2017,Oxford University Press,en,No rating,0,http://books.google.com/books/content?id=j_pADwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Boys' Life,Unknown Author,64,Unknown Genre,"Boys' Life is the official youth magazine for the Boy Scouts of America. Published since 1911, it contains a proven mix of news, nature, sports, history, fiction, science, comics, and Scouting.",1985-04,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=cWYEAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Philosophy of David Cronenberg,Simon Riches,234,Philosophy,"Initially regarded as a cult figure with a strong following amongst sci-fi and horror film fans, Canadian filmmaker David Cronenberg emerged as a major and commercially viable film director with mainstream hits such as A History of Violence (2005) and Eastern Promises (2007). With his unique ability to present imagery that is both disturbing and provocative, Cronenberg creates striking films, noteworthy not just for their cinematic beauty but also for the philosophical questions they raise. The ...",2012-04-20,University Press of Kentucky,en,No rating,0,http://books.google.com/books/content?id=sTaF82QEVbgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
International Who's Who of Authors and Writers 2004,Europa Publications,644,Biography & Autobiography,"Accurate and reliable biographical information essential to anyone interested in the world of literature TheInternational Who's Who of Authors and Writersoffers invaluable information on the personalities and organizations of the literary world, including many up-and-coming writers as well as established names. With over 8,000 entries, this updated edition features: * Concise biographical information on novelists, authors, playwrights, columnists, journalists, editors, and critics * Biographical...",2003,Psychology Press,en,No rating,0,http://books.google.com/books/content?id=phhhHT64kIMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Catalogue of the Oakland Free Public Library,Oakland Free Library,224,Library catalogs,No description available,1885,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=GZm9AAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Annual Magazine Subject-index,Unknown Author,652,Drama,No description available,1913,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=xbxIAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Hugo Gernsback, Father of Modern Science Fiction",Mark Siegel,104,Literary Criticism,No description available,1988,Millefleurs,en,No rating,0,http://books.google.com/books/content?id=PaVaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Analog Science Fiction/science Fact,Unknown Author,1082,Science fiction,No description available,1971,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=i04EAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Documents of the ... Legislature of the State of New Jersey,New Jersey. Legislature,1592,New Jersey,No description available,1897,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=zzVNAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
